datetime,meter_id,value
2025-05-11 00:00:00,W-51076373,177418.58
2025-05-11 08:00:00,W-51076373,177418.61
2025-05-11 16:00:00,W-51076373,177471.01
2025-05-11 00:00:00,W-51117382,413381.9
2025-05-11 08:00:00,W-51117382,413493.52
2025-05-11 16:00:00,W-51117382,413605.14
2022-05-09 00:00:00,W-51073534,1511891.5
2022-05-09 08:00:00,W-51073534,1512333.1
2022-05-09 16:00:00,W-51073534,1513662.8
2025-05-11 00:00:00,W-51086335,1514098.51
2025-05-11 16:00:00,W-51086335,1514098.51
2025-05-11 08:00:00,W-51086335,1514098.51
2025-05-08 08:00:00,W-51073534,5368384.2
2025-05-08 16:00:00,W-51073534,5369073.9
2025-05-09 00:00:00,W-51073534,5371300.1
2025-05-09 16:00:00,W-51073534,5372750.0
2025-05-11 00:00:00,W-51073534,5380928.7
2025-05-11 08:00:00,W-51073534,5381144.8
2025-05-11 16:00:00,W-51073534,5384106.1
