datetime,meter_id,value,discard_reason
2025-05-11 00:00:00,W-51076373,177418.58,kept smallest
2025-05-11 08:00:00,W-51076373,177418.61,kept smallest
2025-05-11 16:00:00,W-51076373,177471.01,kept smallest
2025-05-11 00:00:00,W-51117382,413381.9,kept smallest
2025-05-11 08:00:00,W-51117382,413493.52,kept smallest
2025-05-11 16:00:00,W-51117382,413605.14,kept smallest
2022-05-09 00:00:00,W-51073534,1511891.5,kept smallest
2022-05-09 08:00:00,W-51073534,1512333.1,kept smallest
2022-05-09 16:00:00,W-51073534,1513662.8,kept smallest
2025-05-11 00:00:00,W-51086335,1514098.51,kept smallest
2025-05-11 16:00:00,W-51086335,1514098.51,kept smallest
2025-05-11 08:00:00,W-51086335,1514098.51,kept smallest
2025-05-08 08:00:00,W-51073534,5368384.2,kept smallest
2025-05-08 16:00:00,W-51073534,5369073.9,kept smallest
2025-05-09 00:00:00,W-51073534,5371300.1,kept smallest
2025-05-09 16:00:00,W-51073534,5372750.0,kept smallest
2025-05-11 00:00:00,W-51073534,5380928.7,kept smallest
2025-05-11 08:00:00,W-51073534,5381144.8,kept smallest
2025-05-11 16:00:00,W-51073534,5384106.1,kept smallest
