Date/Time,Badge Number,Reading
2022-05-09 08:00:00,W-84182910,8586.36
2022-05-09 08:00:00,W-51054640,406951.77
2022-05-09 08:00:00,W-51139197,227916.09
2022-05-09 08:00:00,W-84178630,69334.61
2022-05-09 08:00:00,W-51140306,243088.6
2022-05-09 08:00:00,W-51139156,59759.05
2022-05-09 08:00:00,W-51139376,14515.87
2022-05-09 08:00:00,W-84220384,79503.47
2022-05-09 08:00:00,W-51046560,132543.92
2022-05-09 08:00:00,W-84181147,0.01
2022-05-09 08:00:00,W-51046106,126374.06
2022-05-09 08:00:00,W-51063502,11205.81
2022-05-09 08:00:00,W-84218604,34331.42
2022-05-09 08:00:00,W-51139379,250669.98
2022-05-09 08:00:00,W-51140047,12120.12
2022-05-09 08:00:00,W-51140570,97422.3
2022-05-09 08:00:00,W-51140156,54867.0
2022-05-09 08:00:00,W-51140322,159912.5
2022-05-09 08:00:00,W-84181657,33.06
2022-05-09 08:00:00,W-84182059,20578.7
2022-05-09 08:00:00,W-51045048,0.02
2022-05-09 08:00:00,W-51139050,38871.62
2022-05-09 08:00:00,W-51109269,48242.6
2022-05-09 08:00:00,W-51106171,328563.07
2022-05-09 08:00:00,W-51133779,197726.53
2022-05-09 08:00:00,W-51119892,126226.38
2022-05-09 08:00:00,W-51079798,233143.24
2022-05-09 08:00:00,W-51084949,234061.82
2022-05-09 08:00:00,W-51084704,193208.65
2022-05-09 08:00:00,W-51084901,248539.55
2022-05-09 08:00:00,W-51108860,195586.33
2022-05-09 08:00:00,W-51112989,203295.43
2022-05-09 08:00:00,W-51108774,827.7
2022-05-09 08:00:00,W-51106023,237006.72
2022-05-09 08:00:00,W-51099133,82321.64
2022-05-09 08:00:00,W-51102517,114209.72
2022-05-09 08:00:00,W-51109978,118434.32
2022-05-09 08:00:00,W-51101759,401584.82
2022-05-09 08:00:00,W-51135293,218690.49
2022-05-09 08:00:00,W-51122525,59958.05
2022-05-09 08:00:00,W-51132557,137594.17
2022-05-09 08:00:00,W-51079677,243334.05
2022-05-09 08:00:00,W-51109859,143931.65
2022-05-09 08:00:00,W-51080450,198480.12
2022-05-09 08:00:00,W-51113229,360985.63
2022-05-09 08:00:00,W-51115731,104017.47
2022-05-09 08:00:00,W-51112163,122239.38
2022-05-09 08:00:00,W-51111100,142340.94
2022-05-09 08:00:00,W-51111415,98548.93
2022-05-09 08:00:00,W-51119348,83065.01
2022-05-09 08:00:00,W-51117940,291374.72
2022-05-09 08:00:00,W-51105360,296896.97
2022-05-09 08:00:00,W-51107503,397430.9
2022-05-09 08:00:00,W-51102264,57612.95
2022-05-09 08:00:00,W-51106930,156225.5
2022-05-09 08:00:00,W-51122473,182551.02
2022-05-09 08:00:00,W-51123874,408790.96
2022-05-09 08:00:00,W-51127489,224868.54
2022-05-09 08:00:00,W-51110901,50235.83
2022-05-09 08:00:00,W-51107637,335631.12
2022-05-09 08:00:00,W-51106520,249715.38
2022-05-09 08:00:00,W-51109934,137680.68
2022-05-09 08:00:00,W-51105632,496641.69
2022-05-09 08:00:00,W-51105638,389838.02
2022-05-09 08:00:00,W-51108486,363943.99
2022-05-09 08:00:00,W-51106125,108961.2
2022-05-09 08:00:00,W-51078067,135020.77
2022-05-09 08:00:00,W-51112153,132642.51
2022-05-09 08:00:00,W-51113422,392485.84
2022-05-09 08:00:00,W-51103608,175733.5
2022-05-09 08:00:00,W-51135135,435405.65
2022-05-09 08:00:00,W-51072933,217991.97
2022-05-09 08:00:00,W-51078883,200559.22
2022-05-09 08:00:00,W-51080902,161136.22
2022-05-09 08:00:00,W-51080814,104989.0
2022-05-09 08:00:00,W-51067136,185599.97
2022-05-09 08:00:00,W-51064253,547833.7
2022-05-09 08:00:00,W-84183756,190145.14
2022-05-09 08:00:00,W-51085309,293441.75
2022-05-09 08:00:00,W-51045820,121607.65
2022-05-09 08:00:00,W-51039531,190762.28
2022-05-09 08:00:00,W-51033009,101481.94
2022-05-09 08:00:00,W-51039345,108480.72
2022-05-09 08:00:00,W-51061347,577116.06
2022-05-09 08:00:00,W-84179488,331951.54
2022-05-09 08:00:00,W-51119037,376205.19
2022-05-09 08:00:00,W-51125649,516263.03
2022-05-09 08:00:00,W-51046648,249485.92
2022-05-09 08:00:00,W-51125542,69392.63
2022-05-09 08:00:00,W-84182047,89970.58
2022-05-09 08:00:00,W-51066676,337921.16
2022-05-09 08:00:00,W-51128557,298420.04
2022-05-09 08:00:00,W-51050787,73281.71
2022-05-09 08:00:00,W-51068320,33228.63
2022-05-09 08:00:00,W-51044692,225442.61
2022-05-09 08:00:00,W-84183381,264302.77
2022-05-09 08:00:00,W-51038256,188261.64
2022-05-09 08:00:00,W-51043372,195026.06
2022-05-09 08:00:00,W-84180592,25796.82
2022-05-09 08:00:00,W-51057979,98181.42
2022-05-09 08:00:00,W-84176489,117794.5
2022-05-09 08:00:00,W-51037921,66090.42
2022-05-09 08:00:00,W-51062894,128452.3
2022-05-09 08:00:00,W-51066321,131097.52
2022-05-09 08:00:00,W-51122202,385523.23
2022-05-09 08:00:00,W-51048463,122222.15
2022-05-09 08:00:00,W-51088721,13299.7
2022-05-09 08:00:00,W-51065024,87588.41
2022-05-09 08:00:00,W-51068904,794340.75
2022-05-09 08:00:00,W-51127697,193010.53
2022-05-09 08:00:00,W-51047097,912525.46
2022-05-09 08:00:00,W-51065132,151649.58
2022-05-09 08:00:00,W-51047669,211329.78
2022-05-09 08:00:00,W-51124879,181601.71
2022-05-09 08:00:00,W-51121611,51438.3
2022-05-09 08:00:00,W-51041871,197097.19
2022-05-09 08:00:00,W-51033517,252488.27
2022-05-09 08:00:00,W-51034810,87965.98
2022-05-09 08:00:00,W-51057191,87722.5
2022-05-09 08:00:00,W-51061402,146781.88
2022-05-09 08:00:00,W-51048005,110516.11
2022-05-09 08:00:00,W-51121029,408248.99
2022-05-09 08:00:00,W-51066140,385423.61
2022-05-09 08:00:00,W-84183538,76801.39
2022-05-09 08:00:00,W-51125675,133716.31
2022-05-09 08:00:00,W-51126077,173134.68
2022-05-09 08:00:00,W-51041449,159473.09
2022-05-09 08:00:00,W-84183296,82914.92
2022-05-09 08:00:00,W-51046738,154606.56
2022-05-09 08:00:00,W-51060679,71221.45
2022-05-09 08:00:00,W-51033589,130521.04
2022-05-09 08:00:00,W-51065106,134294.32
2022-05-09 08:00:00,W-51039073,377522.94
