Date/Time,Badge Number,Reading
2025-05-08,W-51099964,254064.93
2025-05-08,W-84181980,512720.67
2025-05-08,W-51073509,22292.84
2025-05-08,W-51067093,450410.23
2025-05-08,W-51034075,2640242.1
2025-05-08,W-51116071,173432.01
2025-05-08,W-51120839,843167.94
2025-05-08,W-51039465,443069.3
2025-05-08,W-51103862,530340.38
2025-05-08,W-51129109,813496.67
2025-05-08,W-51129665,624498.02
2025-05-08,W-51141076,654939.26
2025-05-08,W-51125986,396363.89
2025-05-08,W-51128558,725924.37
2025-05-08,W-51122933,678095.13
2025-05-08,W-51135650,482833.84
2025-05-08,W-51132272,337280.32
2025-05-08,W-84179528,379508.78
2025-05-08,W-84183266,608694.91
2025-05-08,W-51084624,353730.8
2025-05-08,W-51122399,279530.34
2025-05-08,W-51038652,339801.17
2025-05-08,W-51077746,560538.19
2025-05-08,W-51137197,407237.77
2025-05-08,W-51122112,180441.36
2025-05-08,W-51122998,0.0
2025-05-08,W-51066471,255761.29
2025-05-08,W-51111140,220219.33
2025-05-08,W-51104890,231928.68
2025-05-08,W-51103219,683139.93
2025-05-08,W-51118075,224906.25
2025-05-08,W-51046858,654393.03
2025-05-08,W-51084444,147538.13
2025-05-08,W-51107970,700231.42
2025-05-08,W-51106276,628027.89
2025-05-08,W-51046834,773360.94
2025-05-08,W-51043049,166202.17
2025-05-08,W-51101100,342492.79
2025-05-08,W-51133257,649923.9
2025-05-08,W-51078171,235233.49
2025-05-08,W-51087877,584539.64
2025-05-08,W-51034679,410019.67
2025-05-08,W-51047155,0.0
2025-05-08,W-51131887,284904.83
2025-05-08,W-51124722,276233.25
2025-05-08,W-51107998,394775.64
2025-05-08,W-51104008,345037.93
2025-05-08,W-51070621,603769.86
2025-05-08,W-51062686,1803438.65
2025-05-08,W-51141991,236170.93
2025-05-08,W-51088336,99852.77
2025-05-08,W-51072488,90359.69
2025-05-08,W-51068374,61865.51
2025-05-08,W-51119932,455065.84
2025-05-08,W-51058562,279804.93
2025-05-08,W-51135883,653575.26
2025-05-08,W-51081915,274824.0
2025-05-08,W-51061444,1887644.41
2025-05-08,W-51053547,203248.68
2025-05-08,W-51121013,174532.18
2025-05-08,W-51123220,394247.46
2025-05-08,W-51039608,194061.52
2025-05-08,W-51087006,1792095.58
2025-05-08,W-51065708,529868.4
2025-05-08,W-51069974,409554.14
2025-05-08,W-51087421,324255.61
2025-05-08,W-51100394,1642641.03
2025-05-08,W-51087721,591691.76
2025-05-08,W-51124167,695234.38
2025-05-08,W-51103193,403610.29
2025-05-08,W-51072341,87964.31
2025-05-08,W-51123298,312350.64
2025-05-08,W-51132666,350208.3
2025-05-08,W-51132109,746405.85
2025-05-08,W-51070663,354271.67
2025-05-08,W-51122409,679205.01
2025-05-08,W-51141524,313756.64
2025-05-08,W-51144714,108019.94
2025-05-08,W-84291251,285418.7
2025-05-08,W-84282602,216228.25
2025-05-08,W-84293618,211800.78
2025-05-08,W-51141148,350744.46
2025-05-08,W-84291343,278771.28
2025-05-08,W-51140629,521311.7
2025-05-08,W-84286743,218944.83
2025-05-08,W-84296648,53191.04
2025-05-08,W-84292346,154645.3
2025-05-08,W-51044608,129157.6
2025-05-08,W-84293128,354975.5
2025-05-08,W-51145117,666268.4
2025-05-08,W-84293393,72321.32
2025-05-08,W-84293535,373923.93
2025-05-08,W-51145913,169916.28
2025-05-08,W-51145781,163152.56
2025-05-08,W-51143363,223662.38
2025-05-08,W-51144604,47663.34
2025-05-08,W-51142427,211022.94
2025-05-08,W-51145091,51449.34
2025-05-08,W-51142412,167466.73
2025-05-08,W-51140172,78113.3
2025-05-08,W-51143867,459655.43
2025-05-08,W-51142655,582248.69
2025-05-08,W-84312761,140112.23
2025-05-08,W-84329416,170396.07
2025-05-08,W-84321903,128882.8
2025-05-08,W-84305714,84202.79
2025-05-08,W-84315388,126803.74
2025-05-08,W-84346800,20582.3
2025-05-08,W-84369773,17550.55
2025-05-08,W-84334319,110051.35
2025-05-08,W-84307356,285790.27
2025-05-08,W-84354924,32430.79
2025-05-08,W-84358689,44166.11
2025-05-08,W-84306796,137294.74
2025-05-08,W-84354909,45019.04
2025-05-08,W-84308004,64115.63
2025-05-08,W-84313187,98294.23
2025-05-08,W-84355597,268.09
2025-05-08,W-84311364,16475.67
2025-05-08,W-84329688,179698.04
2025-05-08,W-84308983,366374.57
2025-05-08,W-84355243,65067.43
2025-05-08,W-84336364,169754.89
2025-05-08,W-84358444,34216.73
2025-05-08,W-84370359,43005.97
2025-05-08,W-84357963,11994.59
2025-05-08,W-84358138,135610.37
2025-05-08,W-84357601,1013.81
2025-05-08,W-84336454,53461.74
2025-05-08,W-84309845,129093.39
2025-05-08,W-84347005,137470.4
2025-05-08,W-84311077,104922.26
2025-05-08,W-84312383,20737.06
2025-05-08,W-84335875,77857.49
2025-05-08,W-84311378,174760.72
2025-05-08,W-84398368,444.05
2025-05-08,W-84309211,244019.11
2025-05-08,W-84357645,6130.97
2025-05-08,W-84357688,6919.09
2025-05-08,W-84357856,11194.3
2025-05-08,W-84329636,99619.79
2025-05-08,W-84354966,116409.97
2025-05-08,W-84306789,44965.07
2025-05-08,W-84307117,38946.38
