Q(cfs)	Stage(ft)
79	1.56
165	1.93
203	2.19
1770	6.94
33	7.85
79	8.02
76.8	8.08
103	8.08
1445	8.12
126	8.2
1845	8.25
129	8.31
175	8.32
197	8.44
124	8.47
277	8.55
2820	8.66
291	8.7
407	8.81
2910	9.2
1080	9.65
1180	9.75
1170	9.85
3880	9.98
3910	10.01
3990	10.1
1790	10.28
2080	10.5
2190	10.58
2210	10.6
2350	10.69
2960	11.07
2980	11.08
3380	11.31
6170	12
8340	13.5
9180	13.61
10700	13.99
13400	14.99
13900	15.15
15100	15.37
18000	16.14
19800	16.59
24300	17.57
25200	17.77
26500	18
27800	18.28
28400	18.37
28700	18.46
28800	18.46
29000	18.51
31200	18.85
34800	19.55
35900	19.73
47000	21.4
53900	22.4
56800	22.8
62900	23.5
108000	28.38
206000	36.6
