Q(cfs)	Stage(ft)
324	1.11
409	1.52
163	1.67
213	1.86
192	1.88
88	1.88
112	1.95
289	1.96
385	2.04
880	2.19
615	2.2
658	2.35
568	2.37
607	2.5
323	2.77
271	2.77
1020	2.88
1290	3.18
1610	3.37
1630	3.38
606	3.55
2100	3.77
2540	4.07
1320	4.12
313	4.15
2770	4.2
3090	4.42
3270	4.56
3770	4.76
1180	4.76
4180	4.95
4540	5.29
5030	5.52
5320	5.63
4720	5.85
6570	5.98
5600	6
6000	6.01
2880	6.14
8180	6.6
4270	7.01
8750	7.22
4310	7.24
5190	7.44
12100	8.13
13800	8.65
11100	8.8
5370	8.92
7250	9.05
17500	9.08
16600	9.52
8640	9.8
11200	9.97
13700	10
10000	10.47
19800	10.48
14900	10.5
21600	10.55
15800	10.68
19900	10.7
16100	10.97
26400	11.21
13900	11.53
25700	11.8
14600	11.8
12700	12.02
36800	12.76
35500	13.1
18000	13.11
40500	13.55
22000	14.36
41600	15.76
32000	16.1
55700	16.54
30200	17.22
32000	17.25
63600	18.24
24000	18.69
33700	19.07
36600	20.04
43000	20.05
74400	21.85
76700	22.14
49700	22.51
76900	23.3
54300	23.38
50300	24.7
85500	24.83
53100	25.18
89700	25.2
97800	26.77
106000	27.15
122000	27.6
106000	29.43
137000	30.3
129000	31.11
121000	31.53
120000	31.78
158000	32.2
139000	32.23
158000	35.08
319000	43.3
