id,day,date,slphrs,weath,lteq,pss,se,swls,evalday,posaff,negaff,TEMP,HUM,WIND,BAR,PREC
101,0,19-Feb-09,6,1,10,2.5,2,3.8,1,3.9,3,28,0.79,11,29.4,0.2
101,1,20-Feb-09,2,2,10,2.75,3,4.2,0,3.8,2.3,20.8,0.62,3.6,30.17,0
101,2,21-Feb-09,9,3,10,3.5,4,5,1,5.1,1,29.1,0.51,1.9,30.35,0.02
101,3,22-Feb-09,7.5,2,9,3,4,5,1,5.6,1.3,30.2,0.58,2.7,30.23,0
101,4,23-Feb-09,8,1,18,2.75,3,4,1,4.3,1.1,22.7,0.55,2.4,30.46,0
101,5,24-Feb-09,8,2,19,2.75,3,4.2,1,3.9,1,21.4,0.54,0.7,30.54,0
101,6,25-Feb-09,8,3,21,3.5,4,4.6,1,5.1,1.2,31.4,0.49,1,30.51,0
101,7,26-Feb-09,7,,14,2.75,3,4.6,1,4.8,1.1,45.3,0.52,1.1,30.3,0
102,0,19-Feb-09,7,0,12,3.5,5,5.6,0,6.3,1.4,28,0.79,11,29.4,0.2
102,1,20-Feb-09,6,0,20,4,5,6.6,0,7,1.6,20.8,0.62,3.6,30.17,0
102,2,21-Feb-09,3,2,11,4,5,5.6,1,6.1,2.6,29.1,0.51,1.9,30.35,0.02
102,3,22-Feb-09,,1,6,1.75,3,6.8,1,6.2,2.8,30.2,0.58,2.7,30.23,0
102,4,23-Feb-09,8,0,17,4,5,6,1,5.3,1.7,22.7,0.55,2.4,30.46,0
102,5,24-Feb-09,8,0,8,3.75,4,4.8,1,4.7,2.65,21.4,0.54,0.7,30.54,0
102,6,25-Feb-09,10,3,11,2.75,4,1.4,1,2,2.2,31.4,0.49,1,30.51,0
102,7,26-Feb-09,,3,8,2,2,3,1,3.8,2.8,45.3,0.52,1.1,30.3,0
103,0,19-Feb-09,7,0,17,2.75,5,5.6,0,5,2.6,28,0.79,11,29.4,0.2
103,3,22-Feb-09,8,3,3,3,4,4.6,1,4.6,1.5,30.2,0.58,2.7,30.23,0
103,4,23-Feb-09,7,1,8,2.75,3,5.6,1,4.7,1.6,22.7,0.55,2.4,30.46,0
103,5,24-Feb-09,6.5,2,3,3.25,4,5.6,1,3.7,1.5,21.4,0.54,0.7,30.54,0
103,6,25-Feb-09,10,3,0,2,3,2.4,1,1.6,4.1,31.4,0.49,1,30.51,0
103,7,26-Feb-09,7.5,4,3,2.75,3,3.6,1,1.4,3.2,45.3,0.52,1.1,30.3,0
104,0,19-Feb-09,7,2,21,2.5,4,3.8,1,6.5,1.1,28,0.79,11,29.4,0.2
104,1,20-Feb-09,5,1,,1.75,3,2.4,1,4.2,1.6,20.8,0.62,3.6,30.17,0
104,2,21-Feb-09,4,4,,2.25,4,3.4,1,5.5,1.4,29.1,0.51,1.9,30.35,0.02
104,3,22-Feb-09,6,1,,2.5,4,3.2,1,3.9,1,30.2,0.58,2.7,30.23,0
104,4,23-Feb-09,5,1,6,1.75,3,1.4,1,2.4,1.7,22.7,0.55,2.4,30.46,0
104,5,24-Feb-09,6,2,6,2.25,3,1.6,1,3,1.1,21.4,0.54,0.7,30.54,0
104,6,25-Feb-09,5,3,6,2.25,3,2,1,3.3,1.2,31.4,0.49,1,30.51,0
104,7,26-Feb-09,5,3,3,2.25,2,2,0,2.4,3.3,45.3,0.52,1.1,30.3,0
105,0,19-Feb-09,6,1,9,2.5,2,5.2,0,4.7,3.2,28,0.79,11,29.4,0.2
105,1,20-Feb-09,5.5,1,3,2.5,3,3.6,1,4.4,2.8,20.8,0.62,3.6,30.17,0
105,2,21-Feb-09,8,2,3,3,3,5,,5.1,2.3,29.1,0.51,1.9,30.35,0.02
105,3,22-Feb-09,8,2,5,2.75,3,3.4,,4.1,2.8,30.2,0.58,2.7,30.23,0
105,4,23-Feb-09,7,0,3,1.25,2,3.6,,2.8,3.6,22.7,0.55,2.4,30.46,0
105,5,24-Feb-09,8,1,3,1.5,2,3.2,,2.9,2.2,21.4,0.54,0.7,30.54,0
105,6,25-Feb-09,5,3,14,2.25,3,4.6,0,4.4,2,31.4,0.49,1,30.51,0
105,7,26-Feb-09,8,3,14,2.25,4,5,1,4.2,2,45.3,0.52,1.1,30.3,0
106,0,19-Feb-09,8.5,3,9,3.25,3,5.2,1,6.2,1.3,28,0.79,11,29.4,0.2
106,1,20-Feb-09,6,0,0,3.25,5,4.6,0,5,1.9,20.8,0.62,3.6,30.17,0
106,2,21-Feb-09,6,3,0,1.75,4,1,1,1.6,3.2,29.1,0.51,1.9,30.35,0.02
106,3,22-Feb-09,7,2,5,2.25,5,4.6,1,5.2,2.525,30.2,0.58,2.7,30.23,0
106,4,23-Feb-09,8,3,0,4,5,6.2,1,4.8,1.3,22.7,0.55,2.4,30.46,0
106,5,24-Feb-09,7,2,0,2.5,5,3.2,1,3.6,2.05,21.4,0.54,0.7,30.54,0
106,6,25-Feb-09,8,,0,2,4,3.4,0,4.1,2.7,31.4,0.49,1,30.51,0
106,7,26-Feb-09,9,4,17,4,5,7,,6.7,1.6,45.3,0.52,1.1,30.3,0
107,0,19-Feb-09,6,1,8,2.5,4,3.6,1,4.1,2.7,28,0.79,11,29.4,0.2
107,1,20-Feb-09,6,2,3,2.75,5,4.6,0,4.6,2.2,20.8,0.62,3.6,30.17,0
107,2,21-Feb-09,5,2,8,2.5,4,3.8,1,4.1,2.2,29.1,0.51,1.9,30.35,0.02
107,3,22-Feb-09,8,3,3,2.75,4,3.2,,3.3,2.1,30.2,0.58,2.7,30.23,0
107,4,23-Feb-09,7,2,3,3,4,5.2,1,4.3,1.8,22.7,0.55,2.4,30.46,0
107,5,24-Feb-09,7,3,6,3.333333333,4,5.2,0,5.3,1.3,21.4,0.54,0.7,30.54,0
107,6,25-Feb-09,6,1,8,2.75,4,5.2,1,4.6,1.4,31.4,0.49,1,30.51,0
107,7,26-Feb-09,6,2,3,3.25,5,4.6,0,4.4,2.5,45.3,0.52,1.1,30.3,0
108,0,19-Feb-09,3,0,12,2.5,2,3.4,1,2.5,5.3,28,0.79,11,29.4,0.2
108,1,20-Feb-09,8,0,48,0,1,1.6,1,1.4,6.1,20.8,0.62,3.6,30.17,0
108,2,21-Feb-09,8,0,22,1.5,2,1.8,1,2.5,4.7,29.1,0.51,1.9,30.35,0.02
108,3,22-Feb-09,6,3,8,1.75,2,1.6,1,2.3,4.8,30.2,0.58,2.7,30.23,0
108,4,23-Feb-09,6,1,16,1.75,2,1,1,2.2,4.5,22.7,0.55,2.4,30.46,0
108,5,24-Feb-09,4,0,11,1.25,2,1.2,1,2.2,5.8,21.4,0.54,0.7,30.54,0
108,6,25-Feb-09,3,0,22,2,3,1.6,1,2.6,4.7,31.4,0.49,1,30.51,0
108,7,26-Feb-09,3,0,31,1.75,2,1,1,2.1,4.8,45.3,0.52,1.1,30.3,0
